strategy,fold,trade_id,holding_period,exit_reason,net_return_pct,net_pnl,is_win
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,99,2,PROFIT_TARGET,2.8969999999999967,3554.6444501588567,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,100,1,PROFIT_TARGET,2.8970000000000007,3657.6224998799635,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,101,10,TIME_LIMIT_10D,-8.667610324729393,-11260.365208249748,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,102,1,PROFIT_TARGET,2.8970000000000047,3437.3710436184956,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,103,7,PROFIT_TARGET,2.897000000000007,3536.951682752126,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,104,8,PROFIT_TARGET,2.8970000000000007,3639.4171730014477,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,105,5,PROFIT_TARGET,2.8970000000000047,3744.851088503305,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,106,2,PROFIT_TARGET,2.8970000000000042,3853.3394245372456,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,107,1,PROFIT_TARGET,2.8969999999999945,3964.9706676660753,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,108,10,TIME_LIMIT_10D,-5.76676919679727,-8121.32268244482,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,109,1,PROFIT_TARGET,2.897000000000004,3844.561149797948,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,110,6,PROFIT_TARGET,2.8970000000000056,3955.9380863075976,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,111,8,PROFIT_TARGET,2.897000000000001,4070.5416126679233,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,112,1,PROFIT_TARGET,2.8969999999999927,4188.465203186901,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,113,10,TIME_LIMIT_10D,-12.554457560377022,-18676.998436218902,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,114,10,TIME_LIMIT_10D,-4.94343412410187,-6430.956274821175,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,115,10,PROFIT_TARGET,2.8970000000000042,3582.42759214441,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,116,7,PROFIT_TARGET,2.897000000000009,3686.2105194888404,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,117,1,PROFIT_TARGET,2.897000000000003,3793.0000382384237,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,118,1,PROFIT_TARGET,2.897000000000008,3902.8832493461978,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,119,3,PROFIT_TARGET,2.8970000000000073,4015.9497770797566,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,120,5,PROFIT_TARGET,2.897000000000007,4132.291842121756,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,121,10,TIME_LIMIT_10D,-5.056982487934997,-7422.268370645718,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,122,8,PROFIT_TARGET,2.8970000000000073,4036.981222090417,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,123,3,PROFIT_TARGET,2.8969999999999994,4153.932568094366,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,124,10,TIME_LIMIT_10D,-16.711492811395225,-24656.35682139218,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,125,1,PROFIT_TARGET,2.8969999999999994,3559.9773374763286,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,126,10,TIME_LIMIT_10D,-26.474272942923456,-33475.37825612886,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,127,1,PROFIT_TARGET,2.896999999999994,2693.32817286296,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,128,10,TIME_LIMIT_10D,-8.847785274473353,-8464.046992947533,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,129,1,PROFIT_TARGET,2.896999999999998,2526.1504486451136,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,130,1,PROFIT_TARGET,2.8969999999999994,2599.3330271423642,1
