date,portfolio_equity
2014-11-17,237585.93796203582
2014-11-18,237125.0519850931
2014-11-19,266700.00515178335
2014-11-20,237237.28564364204
2014-11-21,190870.07306409997
2014-11-24,200874.12939540358
2014-11-25,238607.681464296
2014-11-26,238125.75649041228
2014-11-27,238355.4999297775
2014-11-28,280359.2672212749
2014-12-01,238846.26554496723
2014-12-02,238149.19960346076
2014-12-03,206312.0475635882
2014-12-04,238101.3034382807
2014-12-05,237502.4394277012
2014-12-08,235598.43164102692
2014-12-09,235496.72028115718
2014-12-10,235476.75721917255
2014-12-11,234664.96471090787
2014-12-12,198142.814337411
2014-12-15,281952.48124301084
2014-12-16,274195.02620150434
2014-12-17,236828.87738824316
2014-12-18,237619.84126569377
2014-12-19,269550.5023712315
2014-12-22,264466.3568893186
2014-12-23,239521.58116996632
2014-12-24,237415.00514183138
2014-12-26,238488.26411891574
2014-12-29,189140.1540241524
2014-12-30,229913.5907275175
2014-12-31,239101.74231412646
2015-01-01,238991.44032754572
2015-01-02,209461.84200166253
2015-01-05,215616.12565491573
